A (id),B (nombre),C (precio),D (categoria),E (descripcion),F (imagen)
32,Omelet de Carne,13.900,Desayunos,"Carne desmechada. Maíz tierno, queso mozarella y tocineta",assets/imagenes/Desayunos/img113.jpg
34,Omelet Especial,13.900,Desayunos,"Maiz tierno, tocineta, champiñón queso mozarella. jamón, pollo",assets/imagenes/Desayunos/img112.jpg
35,Omelet Vegetariano,13.900,Desayunos,"Clara de huevo, aceite de Oliva espinaca, brocoli, champinon, , maiz tierno y queso",assets/imagenes/Desayunos/img111.jpg
37,Parafait Miel/Granola,13.900,Desayunos,"Frutal Cremoso y saludable. postre matutino en yogurth griego, acompañado de frutillas, melocotones bañados en miel natural y coulis de frutos rojos.",assets/imagenes/Desayunos/img94.jpg
19,Chocolate Toffe,14.500,Desayunos,Pan de Bono. Queso Campesino Almojabana y Chocolate,assets/imagenes/Desayunos/img258.jpg
26,Huevos al Nido,14.900,Desayunos,"Huevos Fritos, tocineta y Papa Francesa",assets/imagenes/Desayunos/img35.jpg
66,Domo mini Muffins (12 unid),15.000,Horneados,,(Vacio)
25,Huerto de Atun,15.900,Desayunos,"Ensalada de lechuga con lomitos de Atún. acompañada de huevo cocido, tomates cherry. aguacate y queso",assets/imagenes/Desayunos/img89.jpg
42,Wafles con Frutas,15.900,Desayunos,,assets/imagenes/Desayunos/img75.jpg
15,Calentao Paisa,16.500,Desayunos,"Frijol, arroz, chorizo, plátano, huevo frito y arepa",assets/imagenes/Desayunos/img15.jpg
22,Desayuno Buenos Días,16.500,Desayunos,"Delicioso desayuno al estilo texano. Huevos rancheros en mozarella, acompañado de frutas frescas, rodajas de pan aliñado y jugo de naranja natural",assets/imagenes/Desayunos/img255.jpg
30,Jardin de Sabores,16.900,Desayunos,"Ensalada de lechuga con Pollo a las finas hierbas corte en julianas, acompañada de huevo cocido, tomates cherry y láminas de palta",assets/imagenes/Desayunos/img88.jpg
168,Copa De Vino,16.900,Vinos,,(Vacio)
20,Croque Madame en Grano Noble,17.900,Desayunos,"Pan multigranos con aguacate laminado, acompañados de exquisito croque madame, bañado en salsa holandesa y bacon ahumado",assets/imagenes/Desayunos/img74.jpg
38,Pollo en Hogaza y Bechamel,17.900,Desayunos,Pan Ciabata - Crema de Aguacate Trozos de Pollo Tomate Cherry Huevo Cocido - Salsa Bechamel,assets/imagenes/Desayunos/img56.jpg
144,Amaretto Soul,18.900,Cocteles,,(Vacio)
145,"Amaretto, limón",18.900,Cocteles,,(Vacio)
13,Amor Perfecto,18.900,Desayunos,Fresco pan de Semillas - Queso Crema. Huevos Revueltos - Aguacate Fresco Yogurt Griego - Granola - Fresas Mora - Kiwy,assets/imagenes/Desayunos/img53.jpg
